Comment,Designator,Footprint,LCSC Part #
0.1uF,J3 J5 C5 C6 C8 C12 C13 C16 C17 C20,0402,
1.0uF,C1 C9,0402,
2.2nH,L1,0402,
2.5A/30V/105mÎ©,Q1,SOT23-3,
2K,R7,0402,
4.7K,R3 R4,0402,
4.7uF,C18 C19,C0402,
5.1k,R5 R6,0603,
8pF,C2 C3,0402,
10K,R1 R9,0402,
10M,R2,0402,
10uF,C14 C15,C0402,
20V-1A,D1,SOD-123,
22uF,C4,CAPC1005X71N,
100nF,C7 C10 C11,C0402,
470,R8,0402,
53261-0471,J2,MOLEX_53261-0471,
BLUE-0402,D2,LED-0402,
BME688,U3,IC_BME688,
BMI055,IC1,QFN50P300X450X100-16N,
CORTEX_DEBUG_SMD,J1,SAMTECH_FTSH-105-01,
DRV2605LDGSR,U2,SOP50P490X110-10N,
ESP32-S3-WROOM-1-N16R2,U1,XCVR_ESP32-S3-WROOM-1-N16R2,
FC-135_32.7680KA-A0,Y1,XTAL_FC-135_32.7680KA-A0,
ICS-41350,MK1,MIC_ICS-41350,
MCP73831T-2ATI/OT,U5,SOT95P280X145-5N,
MIC5504-3.3YM5_TR,U4,SOT95P280X145-5N,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,BOOT RESET,TACTILE_SWITCH_SMD_4.6X2.8MM,
PCM12SMTR,SW1,SW_PCM12SMTR,
TYPE-C-31-M-12,J4,HRO_TYPE-C-31-M-12,
USBLC6-2SC6,U6,SOT95P280X145-6N,
